YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1901,28.8,19.9,20.7,27.0,55.9,115.2,246.3,252.1,122.5,61.9,43.3,10.7,103.6,613.7,227.8,23.0,1004.3
1902,8.6,3.7,14.9,33.8,48.4,138.8,272.9,211.5,215.6,75.0,25.9,21.3,97.1,623.3,316.4,38.4,1070.4
1903,10.5,6.6,12.0,14.8,60.7,165.9,300.2,270.1,187.9,100.2,40.2,17.8,87.6,736.2,328.3,35.0,1187.0
1904,9.5,7.6,23.9,24.4,73.3,144.9,258.2,217.7,128.3,69.3,8.9,9.7,121.6,620.8,206.6,41.8,975.9
1905,16.8,15.2,25.3,32.0,53.1,84.3,254.8,218.9,184.8,57.6,11.6,4.6,110.4,558.0,254.0,47.0,959.1
1906,12.3,30.1,23.8,14.7,36.8,203.8,275.5,265.0,154.0,57.8,20.7,20.9,75.3,744.4,232.4,57.3,1115.4
1907,9.7,26.7,29.7,56.1,34.4,179.4,237.2,288.6,102.2,25.2,24.7,10.6,120.3,705.2,152.0,41.8,1024.5
1908,16.2,15.0,9.7,23.1,46.7,174.5,312.9,313.4,162.9,42.9,5.7,3.6,79.4,800.8,211.5,31.2,1126.6
1909,18.2,9.3,4.8,55.0,56.9,228.7,316.7,232.2,158.8,37.2,10.4,17.6,116.7,777.6,206.3,37.7,1145.9
1910,10.5,9.6,11.7,23.8,41.4,213.1,289.6,288.2,185.0,106.1,37.1,2.8,76.9,791.0,328.2,24.9,1219.0
1911,18.8,3.3,27.0,22.4,54.5,197.5,185.8,221.1,167.9,73.1,38.0,12.8,104.0,604.4,279.0,38.9,1022.2
1912,10.9,15.2,14.6,30.0,45.3,123.2,321.4,261.6,125.7,72.5,51.3,4.8,89.8,706.2,249.4,35.6,1076.4
1913,3.5,27.2,20.2,23.8,70.2,222.4,286.3,212.3,123.0,81.8,16.0,20.6,114.3,721.0,220.9,37.8,1107.5
1914,2.9,14.3,13.1,40.0,57.4,184.4,333.8,245.8,204.2,47.3,23.0,15.2,110.5,764.1,274.5,56.3,1181.4
1915,17.0,24.2,40.0,32.1,61.7,179.5,268.8,233.4,183.7,85.5,44.1,7.5,133.8,681.7,313.3,20.9,1177.4
1916,2.0,11.5,6.3,33.3,55.7,193.6,286.1,301.5,202.4,138.6,42.3,3.7,95.3,781.1,383.3,36.0,1276.9
1917,5.1,27.2,16.8,30.2,73.2,206.1,265.0,280.8,266.8,130.4,32.1,6.9,120.3,751.8,429.3,20.6,1340.6
1918,9.9,3.8,16.9,25.3,67.2,169.6,151.8,229.3,107.0,21.7,42.6,12.6,109.4,550.8,171.3,55.9,857.8
1919,32.1,11.2,11.1,24.8,58.3,170.8,281.8,285.3,168.8,76.4,52.6,15.3,94.2,737.9,297.8,42.4,1188.4
1920,15.6,11.6,23.0,25.8,51.5,152.7,274.8,166.3,121.7,49.5,29.0,1.6,100.3,593.8,200.2,33.2,923.0
1921,27.6,4.0,9.7,43.2,30.3,167.8,305.1,255.9,187.9,68.7,19.1,7.1,83.3,728.7,275.7,32.9,1126.3
1922,19.1,6.7,7.5,17.3,45.5,202.2,290.9,207.6,220.7,56.9,54.4,12.5,70.3,700.7,332.0,51.8,1141.4
1923,10.8,28.5,17.0,27.5,42.0,112.0,314.6,256.9,170.7,58.1,13.7,13.5,86.6,683.5,242.5,42.1,1065.4
1924,18.2,10.3,7.9,22.5,52.2,129.3,294.4,265.9,236.6,64.4,42.2,12.1,82.6,689.6,343.3,24.0,1156.1
1925,7.4,4.6,11.5,38.4,78.9,183.6,310.4,234.2,122.2,68.4,43.1,18.2,128.9,728.2,233.7,43.0,1121.0
1926,20.2,4.6,37.3,29.7,54.9,95.6,324.8,315.7,187.3,57.0,13.9,6.0,121.9,736.2,258.2,36.4,1147.1
1927,9.8,20.6,22.9,20.2,45.4,190.5,319.4,223.8,152.5,65.9,49.0,7.7,88.5,733.7,267.4,44.2,1127.7
1928,12.8,23.6,11.0,29.6,46.8,142.4,293.9,210.6,151.2,120.1,20.8,18.8,87.4,646.9,292.1,47.1,1081.6
1929,16.7,11.6,11.2,41.4,57.7,168.8,288.4,214.3,139.6,91.1,21.9,20.5,110.2,671.5,252.6,45.7,1083.2
1930,12.7,12.5,14.1,26.0,57.2,159.2,284.5,178.1,165.2,107.3,43.4,11.6,97.3,621.9,315.9,33.7,1071.8
1931,6.0,16.1,13.8,33.2,46.8,124.5,321.7,268.1,195.3,113.5,43.5,21.7,93.8,714.3,352.3,38.9,1204.0
1932,4.0,13.2,13.3,30.7,67.3,131.4,334.3,228.1,166.9,81.2,50.5,10.5,111.3,693.8,298.6,35.1,1131.4
1933,9.8,14.8,12.6,37.1,86.5,193.2,278.4,342.4,205.9,98.9,20.7,17.2,136.2,813.9,325.4,44.8,1317.3
1934,19.7,7.9,13.0,28.1,52.4,172.1,278.7,291.4,178.2,70.7,30.6,8.7,93.5,742.2,279.5,42.9,1151.5
1935,21.3,13.0,8.3,33.1,25.8,158.4,305.8,248.7,174.1,59.4,16.0,8.5,67.2,712.9,249.4,40.3,1072.2
1936,5.3,26.5,20.9,24.5,74.5,230.5,271.3,218.2,196.6,74.6,50.9,15.2,119.8,719.9,322.1,51.1,1208.7
1937,3.3,32.6,16.0,48.1,52.2,163.0,305.7,190.5,182.4,98.6,21.1,9.4,116.3,659.2,302.1,42.5,1122.9
1938,19.1,14.1,14.2,23.5,61.8,232.0,286.2,261.4,153.9,74.7,15.8,4.7,99.4,779.7,244.4,29.0,1161.3
1939,10.5,13.8,20.3,27.1,37.4,149.8,274.1,241.7,140.3,95.6,34.1,1.8,84.8,665.6,270.0,28.7,1046.5
1940,8.8,18.1,31.0,33.9,68.1,190.8,285.7,283.4,123.2,71.6,40.5,12.3,133.0,759.9,235.3,41.6,1167.5
1941,18.2,11.0,12.0,28.7,61.2,163.6,257.0,213.1,143.9,67.4,25.8,16.9,101.8,633.7,237.1,54.4,1018.7
1942,14.1,23.4,12.5,39.2,51.4,154.7,345.2,296.2,181.1,39.1,12.5,22.4,103.1,796.1,232.7,58.5,1191.8
1943,28.0,8.1,14.1,48.2,67.9,143.9,305.5,213.3,188.7,102.5,20.5,4.0,130.2,662.7,311.7,49.5,1144.6
1944,20.2,25.4,40.8,30.0,39.0,160.0,332.7,286.8,145.9,93.4,28.9,11.2,109.8,779.4,268.2,41.1,1214.2
1945,23.4,6.5,7.6,39.2,48.5,152.3,335.6,241.9,204.4,84.6,20.8,5.4,95.3,729.8,309.7,20.4,1170.1
1946,2.5,12.4,16.1,38.6,61.3,183.2,304.5,290.6,140.7,84.4,67.8,26.3,115.9,778.3,292.8,56.8,1228.3
1947,18.0,12.5,21.4,28.7,45.1,122.2,308.1,304.3,251.4,72.0,7.0,15.3,95.2,734.6,330.4,55.1,1206.0
1948,21.4,18.4,19.9,38.8,68.7,143.0,301.0,268.9,163.9,67.0,61.1,6.1,127.4,712.9,292.0,26.6,1178.3
1949,8.1,12.4,13.7,39.1,74.8,148.0,317.4,250.3,217.2,95.2,10.9,2.0,127.7,715.7,323.3,31.3,1189.3
1950,12.1,17.2,24.1,14.3,45.7,139.9,334.4,234.9,188.0,58.2,25.7,5.8,84.1,709.2,271.9,19.7,1100.2
1951,9.4,4.5,28.8,38.2,55.1,154.4,282.3,225.4,135.6,75.3,33.5,3.2,122.1,662.0,244.4,23.5,1045.6
1952,7.1,13.2,21.0,32.4,57.5,155.0,263.8,225.8,112.9,80.4,7.4,20.1,110.9,644.6,200.7,48.1,996.6
1953,20.7,7.3,13.0,35.4,39.7,183.2,302.0,278.3,166.7,95.0,12.0,2.9,88.1,763.5,273.7,40.6,1156.3
1954,17.8,19.9,14.9,26.6,50.8,166.1,305.0,264.1,222.8,80.0,2.9,14.7,92.3,735.2,305.7,36.7,1185.6
