YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1901,16.0,17.8,22.9,26.8,29.0,29.4,27.1,25.8,25.9,24.7,20.3,17.2,26.2,27.4,23.6,17.9,23.6
1902,17.5,19.1,24.2,27.1,29.4,29.1,26.9,26.6,25.5,23.9,19.7,16.7,26.9,27.5,23.0,17.1,23.8
1903,16.6,18.0,22.1,26.4,28.7,29.4,27.2,25.9,25.7,23.8,19.2,16.3,25.7,27.5,22.9,17.1,23.3
1904,16.4,18.6,22.5,27.3,28.8,28.3,26.1,25.9,25.5,24.0,19.6,17.0,26.2,26.8,23.0,16.4,23.3
1905,15.6,16.7,21.1,25.0,29.4,29.7,26.9,26.2,25.7,24.2,20.7,16.8,25.2,27.6,23.5,16.9,23.2
1906,16.0,17.8,21.7,27.0,30.1,28.3,26.7,25.9,25.4,24.0,20.6,17.6,26.3,27.0,23.3,17.7,23.4
1907,17.5,18.0,21.6,25.4,28.2,28.4,27.4,25.4,25.9,24.5,20.7,16.4,25.1,27.1,23.7,17.1,23.3
1908,16.2,18.6,22.5,27.9,29.2,29.2,26.1,25.4,25.4,23.9,19.5,16.1,26.5,26.9,22.9,17.0,23.3
1909,16.7,18.3,23.5,25.7,28.8,27.6,25.8,25.6,25.1,23.9,20.7,17.1,26.0,26.4,23.3,17.4,23.2
1910,16.5,18.5,22.8,26.6,29.2,27.9,26.3,25.7,25.5,23.4,18.9,16.3,26.2,26.6,22.6,17.3,23.1
1911,17.4,18.1,21.7,26.6,29.7,28.0,27.4,26.0,25.5,24.2,19.8,16.9,26.0,27.1,23.2,17.8,23.4
1912,17.0,19.5,22.8,26.7,29.4,29.8,26.7,25.7,25.4,24.0,19.5,16.5,26.3,27.4,23.0,17.2,23.6
1913,16.5,18.8,21.7,27.5,28.4,27.4,26.4,25.9,25.9,24.3,19.8,16.9,25.9,26.6,23.3,17.7,23.3
1914,17.3,18.8,22.4,26.1,29.1,28.4,26.3,25.7,25.6,23.6,20.6,17.0,25.9,26.8,23.3,17.3,23.4
1915,16.8,18.1,22.5,26.7,29.8,29.3,27.2,26.2,26.0,25.0,21.1,17.0,26.3,27.6,24.0,17.4,23.8
1916,16.9,18.4,24.2,27.5,29.3,27.4,26.6,25.8,25.6,23.9,19.6,16.2,27.0,26.6,23.1,17.1,23.4
1917,16.6,18.4,22.1,25.4,27.7,27.4,26.2,25.7,25.0,23.4,19.2,16.7,25.0,26.5,22.5,17.0,22.8
1918,15.6,18.6,22.6,25.7,29.0,27.4,27.6,26.2,26.0,24.4,20.7,16.7,25.8,27.1,23.7,17.4,23.4
1919,17.1,18.4,23.2,26.5,28.9,28.4,26.4,25.9,25.4,23.8,20.4,16.8,26.2,26.9,23.2,17.4,23.4
1920,17.0,18.3,22.9,26.5,27.8,28.5,26.6,26.1,26.3,25.0,20.8,17.3,25.7,27.0,24.0,17.7,23.6
1921,17.3,18.5,24.4,27.9,30.5,28.6,27.1,25.7,25.3,23.5,19.6,17.6,27.6,27.2,22.8,17.8,23.8
1922,16.6,19.3,23.7,27.6,29.5,28.2,26.5,25.9,25.4,23.6,20.1,16.4,26.9,26.9,23.0,17.1,23.6
1923,16.7,18.1,23.1,27.2,28.9,30.1,26.5,25.7,25.6,23.4,20.0,17.3,26.4,27.4,23.0,17.7,23.6
1924,16.7,19.1,24.3,27.8,28.7,29.8,26.8,26.1,25.2,23.8,19.5,17.1,26.9,27.5,22.8,16.7,23.7
1925,15.5,17.5,23.2,27.8,28.4,27.6,26.0,26.1,25.9,24.3,20.1,16.8,26.5,26.5,23.4,17.8,23.3
1926,17.0,19.7,22.5,25.3,28.3,30.2,27.1,26.0,25.5,23.8,19.0,16.9,25.3,27.8,22.8,17.2,23.4
1927,16.5,18.2,22.3,26.8,28.8,28.7,26.4,25.8,25.7,24.1,19.4,17.5,26.0,27.0,23.1,17.7,23.3
1928,16.8,19.0,23.1,26.9,29.8,28.5,26.5,26.3,25.8,24.3,20.4,17.0,26.6,27.1,23.5,17.2,23.7
1929,16.6,17.8,23.8,26.9,29.8,28.5,26.5,25.7,25.9,23.8,20.3,16.6,26.8,26.9,23.3,17.0,23.5
1930,16.2,18.1,23.3,26.5,29.1,28.5,26.2,25.9,25.9,24.3,19.7,17.2,26.3,26.9,23.3,17.7,23.4
1931,17.5,18.4,22.8,27.9,29.5,29.6,26.6,26.3,25.5,23.8,19.8,17.2,26.7,27.5,23.1,17.5,23.8
1932,17.4,17.9,23.0,26.9,28.8,29.2,26.6,26.0,25.8,24.5,20.3,17.0,26.2,27.3,23.5,17.4,23.6
1933,16.1,19.3,23.1,26.0,27.6,27.9,26.5,25.5,25.3,23.7,20.1,17.2,25.5,26.6,23.0,17.3,23.2
1934,15.7,19.1,22.5,27.1,29.1,28.4,26.5,25.8,25.7,23.5,19.4,17.2,26.3,26.9,22.9,17.2,23.3
1935,15.7,18.8,23.0,25.3,29.8,29.2,26.4,25.6,25.3,24.0,20.2,17.2,26.0,27.1,23.2,17.4,23.4
1936,16.4,18.7,22.8,26.7,29.8,27.2,26.4,25.9,25.7,23.9,20.5,17.1,26.4,26.5,23.4,17.3,23.4
1937,15.9,19.0,22.2,26.1,29.1,29.0,26.4,26.2,25.9,23.5,20.2,16.5,25.8,27.2,23.2,17.1,23.3
1938,17.1,17.7,24.0,27.5,29.7,27.1,26.4,26.2,26.0,24.1,19.2,16.9,27.1,26.5,23.1,17.7,23.5
1939,17.2,19.0,21.8,26.3,29.7,28.4,26.4,26.3,25.7,24.4,19.9,17.2,25.9,27.0,23.3,17.5,23.5
1940,16.5,18.8,21.8,26.4,29.3,28.7,26.6,25.8,25.7,24.3,20.9,17.3,25.8,27.0,23.6,17.8,23.5
