YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1901,12.1,13.3,14.4,16.6,19.4,26.5,27.5,28.0,26.8,21.2,16.5,14.1,16.8,27.3,21.5,13.4,19.7
1902,13.1,13.0,14.5,17.3,20.1,25.5,27.3,27.5,26.8,20.3,16.1,13.8,17.3,26.7,21.1,12.9,19.6
1903,12.5,12.5,13.5,16.6,20.2,26.7,28.5,27.4,25.7,19.8,14.6,12.3,16.8,27.5,20.0,12.4,19.2
1904,12.3,12.7,13.7,17.5,20.1,25.1,26.5,27.2,25.3,19.9,14.8,12.9,17.1,26.3,20.0,12.1,19.0
1905,11.7,11.6,12.9,15.3,20.7,27.1,28.1,27.7,25.8,20.2,15.8,12.8,16.3,27.6,20.6,12.4,19.1
1906,12.1,12.3,13.1,17.3,21.8,25.1,27.6,27.3,25.2,20.0,15.7,13.4,17.4,26.7,20.3,13.0,19.2
1907,13.2,12.3,13.1,15.6,19.5,25.3,28.5,26.6,25.8,20.4,15.7,12.5,16.1,26.8,20.6,12.5,19.0
1908,12.1,12.8,13.7,18.1,20.6,26.6,26.6,26.3,25.1,19.7,14.6,12.1,17.5,26.5,19.8,12.4,19.0
1909,12.4,12.6,14.5,15.8,20.1,24.0,26.3,26.8,24.6,20.0,16.0,13.1,16.8,25.7,20.2,12.7,18.8
1910,12.4,12.7,14.1,16.7,20.5,24.5,26.9,26.9,25.3,19.3,14.2,12.3,17.1,26.1,19.6,12.6,18.8
1911,13.1,12.5,13.2,16.8,21.2,24.5,28.4,27.3,25.4,20.2,15.0,12.8,17.1,26.7,20.2,13.0,19.2
1912,12.7,13.6,14.2,16.7,20.9,27.4,27.9,27.1,25.2,19.9,14.8,12.5,17.3,27.4,20.0,12.6,19.4
1913,12.3,13.0,13.3,17.8,19.6,23.7,27.1,27.4,25.9,20.3,14.9,12.9,16.9,26.1,20.4,12.9,19.0
1914,12.9,12.9,13.8,16.2,20.5,25.1,27.0,27.1,25.5,19.3,15.7,13.0,16.8,26.4,20.1,12.7,19.1
1915,12.7,12.4,13.9,16.8,21.4,26.6,28.7,27.9,26.0,21.2,16.4,13.0,17.3,27.7,21.2,12.8,19.7
1916,12.7,12.7,15.2,17.5,20.9,23.8,27.5,27.1,25.5,20.0,15.1,12.3,17.9,26.1,20.2,12.4,19.2
1917,12.4,12.6,13.4,15.7,19.1,23.8,26.9,27.0,24.6,19.3,14.6,12.6,16.1,25.9,19.5,12.3,18.5
